英単語,和訳,,,,文法,,,,
spring,泉；湧水,A,28,9,noun,fountain,,,
seed,種（たね）,A,28,10,noun,pip,,,
grain,穀物；粒子,A,28,11,noun,cereal,,,
equator,赤道,A,28,12,noun,"equatorial
line",,,
alarmingly,驚くほどに,A,29,1,adv,surprisingly,finish in an alarmingly short time,驚くほど短時間で終える,
radically,根本的に；過激に,A,29,2,adv,fundaentally,be radically different from his idea,彼の意見と根本から異なる,
exceptionally,並外れて；例外的に,A,29,3,adv,extraordinally,an exceptionally talented artist,並外れた才能のある芸術家,
positive,肯定的な，前向きの；楽観的な,A,29,4,adj,affirmative,feel positive about the new policy,新方針を前向きに受け止める,
bandage,包帯,A,29,5,noun,dressing,apply a bandage to a wound,傷に包帯をする,
valuable,貴重な；高価な,A,29,6,adj,precious,offer valuable lesson,貴重な教訓を与える,invaluableも「貴重な」の意味
tale,物語,A,29,7,noun,story,fairy tales,おとぎ話,
up-to-date,最新の,A,29,8,adj,latest,provide up-to-date information,最新情報を提供する,cutting-edgeも同義語．state-of-the-artは「技術が最先端の」。
frustration,欲求不満；挫折,A,29,9,noun,discontent,get rid of the frustration,欲求不満を解消する,
lead,導く；仕向ける,A,29,10,verb,conduce,lead a person to success,人を成功に導く,
mentally,精神的に,A,29,11,adv,spiritually,be mentally and physically exhausted,心身ともに疲れ果てている,
lease,賃借する；賃貸する,A,29,12,verb,let,lease the land from a famer,農民から土地を借りる,
